id,predio_id,orientacion_id,tipo_colindante_id,via_id,nombre_o_numero,created_at,updated_at
1,18,1,2,,AV. BARTOLINA SISA,2025-12-07 03:59:51,2025-12-07 03:59:51
2,18,2,2,,AV. BARTOLINA SISA,2025-12-07 03:59:51,2025-12-07 03:59:51
3,18,3,2,,AV. LITORAL,2025-12-07 03:59:51,2025-12-07 03:59:51
4,18,4,2,,AV. BARTOLINA SISA,2025-12-07 03:59:51,2025-12-07 03:59:51
5,19,1,1,,12,2025-12-07 03:59:51,2025-12-07 03:59:51
6,19,2,1,,14,2025-12-07 03:59:51,2025-12-07 03:59:51
7,19,3,2,4,,2025-12-07 03:59:51,2025-12-07 03:59:51
8,19,4,1,,7,2025-12-07 03:59:51,2025-12-07 03:59:51
9,20,1,1,,11,2025-12-07 03:59:51,2025-12-07 03:59:51
10,20,2,1,,13,2025-12-07 03:59:51,2025-12-07 03:59:51
11,20,3,2,4,,2025-12-07 03:59:51,2025-12-07 03:59:51
12,20,4,1,,8,2025-12-07 03:59:51,2025-12-07 03:59:51
13,20,4,6,,10,2025-12-07 03:59:51,2025-12-07 03:59:51
14,21,1,2,21,,2025-12-07 03:59:51,2025-12-07 03:59:51
15,21,2,1,,8,2025-12-07 03:59:51,2025-12-07 03:59:51
16,21,3,1,,10,2025-12-07 03:59:51,2025-12-07 03:59:51
17,21,3,6,,11,2025-12-07 03:59:51,2025-12-07 03:59:51
18,21,4,2,13,,2025-12-07 03:59:51,2025-12-07 03:59:51
19,21,4,6,,C/ ALIANZA,2025-12-07 03:59:51,2025-12-07 03:59:51
20,23,1,1,,2,2025-12-07 03:59:51,2025-12-07 03:59:51
21,23,2,2,12,,2025-12-07 03:59:51,2025-12-07 03:59:51
22,23,3,1,,18,2025-12-07 03:59:51,2025-12-07 03:59:51
23,23,3,2,12,,2025-12-07 03:59:51,2025-12-07 03:59:51
24,23,4,2,13,,2025-12-07 03:59:52,2025-12-07 03:59:52
25,24,1,1,,17,2025-12-07 03:59:52,2025-12-07 03:59:52
26,24,2,2,12,,2025-12-07 03:59:52,2025-12-07 03:59:52
27,24,3,2,4,,2025-12-07 03:59:52,2025-12-07 03:59:52
28,24,4,1,,1,2025-12-07 03:59:52,2025-12-07 03:59:52
29,25,1,1,,16,2025-12-07 03:59:52,2025-12-07 03:59:52
30,25,2,1,,18,2025-12-07 03:59:52,2025-12-07 03:59:52
31,25,3,2,,AV. BARTOLINA SISA,2025-12-07 03:59:52,2025-12-07 03:59:52
32,25,4,1,,2,2025-12-07 03:59:52,2025-12-07 03:59:52
33,26,1,1,,3,2025-12-07 03:59:52,2025-12-07 03:59:52
34,26,2,1,,1,2025-12-07 03:59:52,2025-12-07 03:59:52
35,26,3,1,,17,2025-12-07 03:59:52,2025-12-07 03:59:52
36,26,4,2,13,,2025-12-07 03:59:52,2025-12-07 03:59:52
37,27,1,1,,4,2025-12-07 03:59:52,2025-12-07 03:59:52
38,27,2,1,,2,2025-12-07 03:59:52,2025-12-07 03:59:52
39,27,3,1,,16,2025-12-07 03:59:52,2025-12-07 03:59:52
40,27,4,2,13,,2025-12-07 03:59:52,2025-12-07 03:59:52
41,28,1,1,,15,2025-12-07 03:59:52,2025-12-07 03:59:52
42,28,2,1,,17,2025-12-07 03:59:52,2025-12-07 03:59:52
43,28,3,2,4,,2025-12-07 03:59:52,2025-12-07 03:59:52
44,28,4,1,,3,2025-12-07 03:59:52,2025-12-07 03:59:52
45,29,1,1,,14,2025-12-07 03:59:52,2025-12-07 03:59:52
46,29,2,1,,16,2025-12-07 03:59:52,2025-12-07 03:59:52
47,29,3,2,,AV. BARTOLINA SISA,2025-12-07 03:59:52,2025-12-07 03:59:52
48,29,4,1,,4,2025-12-07 03:59:52,2025-12-07 03:59:52
49,22,1,2,21,,2025-12-07 03:59:52,2025-12-07 03:59:52
50,22,2,1,,11,2025-12-07 03:59:52,2025-12-07 03:59:52
51,22,3,2,4,,2025-12-07 03:59:52,2025-12-07 03:59:52
52,22,4,1,,9 CALLE ALIANZA,2025-12-07 03:59:52,2025-12-07 03:59:52
53,32,1,1,,6,2025-12-07 03:59:52,2025-12-07 03:59:52
54,32,2,1,,4,2025-12-07 03:59:52,2025-12-07 03:59:52
55,32,3,1,,14,2025-12-07 03:59:52,2025-12-07 03:59:52
56,32,4,2,13,,2025-12-07 03:59:52,2025-12-07 03:59:52
57,33,1,1,,7,2025-12-07 03:59:52,2025-12-07 03:59:52
58,33,2,1,,5,2025-12-07 03:59:52,2025-12-07 03:59:52
59,33,3,1,,13,2025-12-07 03:59:52,2025-12-07 03:59:52
60,33,4,2,13,,2025-12-07 03:59:52,2025-12-07 03:59:52
61,34,1,1,,12,2025-12-07 03:59:52,2025-12-07 03:59:52
62,34,2,1,,14,2025-12-07 03:59:52,2025-12-07 03:59:52
63,34,3,2,,AV. BARTOLINA SISA,2025-12-07 03:59:52,2025-12-07 03:59:52
64,34,4,1,,6,2025-12-07 03:59:52,2025-12-07 03:59:52
65,35,1,1,,11,2025-12-07 03:59:52,2025-12-07 03:59:52
66,35,2,1,,13,2025-12-07 03:59:52,2025-12-07 03:59:52
67,35,3,2,,AV. BARTOLINA SISA,2025-12-07 03:59:52,2025-12-07 03:59:52
68,35,4,1,,7,2025-12-07 03:59:52,2025-12-07 03:59:52
69,38,1,1,,13,2025-12-07 03:59:52,2025-12-07 03:59:52
70,38,2,1,,15,2025-12-07 03:59:52,2025-12-07 03:59:52
71,38,3,2,4,,2025-12-07 03:59:52,2025-12-07 03:59:52
72,38,4,1,,6,2025-12-07 03:59:52,2025-12-07 03:59:52
73,39,1,1,,14,2025-12-07 03:59:52,2025-12-07 03:59:52
74,39,2,1,,16,2025-12-07 03:59:52,2025-12-07 03:59:52
75,39,3,2,,AV. BARTOLINA SISA,2025-12-07 03:59:52,2025-12-07 03:59:52
76,39,4,1,,5,2025-12-07 03:59:52,2025-12-07 03:59:52
77,40,1,1,,6,2025-12-07 03:59:52,2025-12-07 03:59:52
78,40,2,1,,4,2025-12-07 03:59:52,2025-12-07 03:59:52
79,40,3,1,,15,2025-12-07 03:59:52,2025-12-07 03:59:52
80,40,4,2,13,,2025-12-07 03:59:52,2025-12-07 03:59:52
81,41,1,1,,5,2025-12-07 03:59:52,2025-12-07 03:59:52
82,41,2,1,,3,2025-12-07 03:59:52,2025-12-07 03:59:52
83,41,3,1,,16,2025-12-07 03:59:52,2025-12-07 03:59:52
84,41,4,2,13,,2025-12-07 03:59:52,2025-12-07 03:59:52
85,42,1,1,,15,2025-12-07 03:59:52,2025-12-07 03:59:52
86,42,2,1,,17,2025-12-07 03:59:52,2025-12-07 03:59:52
87,42,3,2,,AV. BARTOLINA SISA,2025-12-07 03:59:52,2025-12-07 03:59:52
88,42,4,1,,4,2025-12-07 03:59:52,2025-12-07 03:59:52
89,43,1,1,,16,2025-12-07 03:59:52,2025-12-07 03:59:52
90,43,2,1,,18,2025-12-07 03:59:52,2025-12-07 03:59:52
91,43,3,2,,AV. BARTOLINA SISA,2025-12-07 03:59:52,2025-12-07 03:59:52
92,43,4,1,,3,2025-12-07 03:59:52,2025-12-07 03:59:52
93,44,1,1,,4,2025-12-07 03:59:52,2025-12-07 03:59:52
94,44,2,1,,2,2025-12-07 03:59:52,2025-12-07 03:59:52
95,44,3,1,,17,2025-12-07 03:59:52,2025-12-07 03:59:52
96,44,4,2,13,,2025-12-07 03:59:52,2025-12-07 03:59:52
97,45,1,1,,3,2025-12-07 03:59:52,2025-12-07 03:59:52
98,45,2,1,,1,2025-12-07 03:59:52,2025-12-07 03:59:52
99,45,3,1,,18,2025-12-07 03:59:52,2025-12-07 03:59:52
100,45,4,2,13,,2025-12-07 03:59:52,2025-12-07 03:59:52
101,46,1,1,,17,2025-12-07 03:59:52,2025-12-07 03:59:52
102,46,2,1,,19,2025-12-07 03:59:52,2025-12-07 03:59:52
103,46,3,2,,AV. BARTOLINA SISA,2025-12-07 03:59:52,2025-12-07 03:59:52
104,46,4,1,,2,2025-12-07 03:59:52,2025-12-07 03:59:52
105,47,1,1,,18,2025-12-07 03:59:52,2025-12-07 03:59:52
