id,inmueble_padre_id,propiedad_horizontal,numero_unidad,codigo_catastral,numero_plano,manzano,lote,zona,sup_levantamiento,sup_testimonio,sup_construida,sup_afectada,sup_util,coordenadas,frente_principal,agua_potable,energia_electrica,alcantarillado,alumbrado_publico,gas_domiciliario,forma_lote,fotografia_uno,fotografia_dos,fotografia_tres,fotografia_cuatro,fotografia_cinco,colindante_norte,colindante_sur,colindante_este,colindante_oeste,planimetria_id,municipio_id,created_at,updated_at,deleted_at,numero_matricula_folio,id_material_via,via_id,plano_aprobado,provincia_id,centro_poblado_id
17,,f,,017001,,70,1,,0,0,,,,01060000E0CF7F00000100000001030000C00100000025000000A8F1D22D8A4F2241492EFF710EF95E410000000000000000FFFFFFFFFFFFEFFF10D044D8894F2241371AC0F70DF95E410000000000000000FFFFFFFFFFFFEFFF78C729DA884F2241C74B37810DF95E410000000000000000FFFFFFFFFFFFEFFFC8073D3B874F2241492EFF110DF95E410000000000000000FFFFFFFFFFFFEFFFE8263108854F22416C787AAD0CF95E410000000000000000FFFFFFFFFFFFEFFF90A0F851824F2241A167B3560CF95E410000000000000000FFFFFFFFFFFFEFFFA8F1D22D7F4F2241174850100CF95E410000000000000000FFFFFFFFFFFFEFFFC00512B47B4F22418F5374DC0BF95E410000000000000000FFFFFFFFFFFFEFFF3892CBFF774F22417CF2B0BC0BF95E410000000000000000FFFFFFFFFFFFEFFFA8F1D22D744F2241492EFFB10BF95E410000000000000000FFFFFFFFFFFFEFFFA835CD5B704F22417CF2B0BC0BF95E410000000000000000FFFFFFFFFFFFEFFF28C286A76C4F22418F5374DC0BF95E410000000000000000FFFFFFFFFFFFEFFFA8F1D22D694F2241174850100CF95E410000000000000000FFFFFFFFFFFFEFFF5027A009664F2241A167B3560CF95E410000000000000000FFFFFFFFFFFFEFFF68BC7453634F22416C787AAD0CF95E410000000000000000FFFFFFFFFFFFEFFF18C05B20614F2241492EFF110DF95E410000000000000000FFFFFFFFFFFFEFFF68006F815F4F2241C74B37810DF95E410000000000000000FFFFFFFFFFFFEFFF401361835E4F2241371AC0F70DF95E410000000000000000FFFFFFFFFFFFEFFFA8F1D22D5E4F2241492EFF710EF95E410000000000000000FFFFFFFFFFFFEFFF401361835E4F2241C9E53FEC0EF95E410000000000000000FFFFFFFFFFFFEFFF68006F815F4F2241CB10C7620FF95E410000000000000000FFFFFFFFFFFFEFFF18C05B20614F2241492EFFD10FF95E410000000000000000FFFFFFFFFFFFEFFF68BC7453634F22419487853610F95E410000000000000000FFFFFFFFFFFFEFFF5027A009664F2241F1F44A8D10F95E410000000000000000FFFFFFFFFFFFEFFFA8F1D22D694F22417B14AED310F95E410000000000000000FFFFFFFFFFFFEFFF28C286A76C4F224103098A0711F95E410000000000000000FFFFFFFFFFFFEFFFA835CD5B704F2241166A4D2711F95E410000000000000000FFFFFFFFFFFFEFFFA8F1D22D744F2241492EFF3111F95E410000000000000000FFFFFFFFFFFFEFFF3892CBFF774F2241166A4D2711F95E410000000000000000FFFFFFFFFFFFEFFFC00512B47B4F224103098A0711F95E410000000000000000FFFFFFFFFFFFEFFFA8F1D22D7F4F22417B14AED310F95E410000000000000000FFFFFFFFFFFFEFFF90A0F851824F2241F1F44A8D10F95E410000000000000000FFFFFFFFFFFFEFFFE8263108854F22419487853610F95E410000000000000000FFFFFFFFFFFFEFFFC8073D3B874F2241492EFFD10FF95E410000000000000000FFFFFFFFFFFFEFFF78C729DA884F2241CB10C7620FF95E410000000000000000FFFFFFFFFFFFEFFF10D044D8894F2241C9E53FEC0EF95E410000000000000000FFFFFFFFFFFFEFFFA8F1D22D8A4F2241492EFF710EF95E410000000000000000FFFFFFFFFFFFEFFF,,f,f,f,f,f,f,,,,,,,,,,1,12,2025-11-28 06:38:50,2025-11-30 12:42:23,,0,4,,t,1,1
18,,f,,016401,001439,64,1,,380.13,380.13,,,,01060000E0CF7F00000100000001030000C00100000025000000385EBAA9254D2241F085C92482F95E410000000000000000FFFFFFFFFFFFEFFFA03C2C54254D2241DE718AAA81F95E410000000000000000FFFFFFFFFFFFEFFF08341156244D22416EA3013481F95E410000000000000000FFFFFFFFFFFFEFFFC88F31B7224D2241F085C9C480F95E410000000000000000FFFFFFFFFFFFEFFF78931884204D224114D0446080F95E410000000000000000FFFFFFFFFFFFEFFF9028EDCD1D4D224148BF7D0980F95E410000000000000000FFFFFFFFFFFFEFFF385EBAA91A4D2241BE9F1AC37FF95E410000000000000000FFFFFFFFFFFFEFFF4872F92F174D224136AB3E8F7FF95E410000000000000000FFFFFFFFFFFFEFFFC8FEB27B134D2241234A7B6F7FF95E410000000000000000FFFFFFFFFFFFEFFF385EBAA90F4D2241F085C9647FF95E410000000000000000FFFFFFFFFFFFEFFFA8BDC1D70B4D2241234A7B6F7FF95E410000000000000000FFFFFFFFFFFFEFFF204A7B23084D224136AB3E8F7FF95E410000000000000000FFFFFFFFFFFFEFFF385EBAA9044D2241BE9F1AC37FF95E410000000000000000FFFFFFFFFFFFEFFFE0938785014D224148BF7D0980F95E410000000000000000FFFFFFFFFFFFEFFFF8285CCFFE4C224114D0446080F95E410000000000000000FFFFFFFFFFFFEFFFA82C439CFC4C2241F085C9C480F95E410000000000000000FFFFFFFFFFFFEFFF688863FDFA4C22416EA3013481F95E410000000000000000FFFFFFFFFFFFEFFFC87F48FFF94C2241DE718AAA81F95E410000000000000000FFFFFFFFFFFFEFFF385EBAA9F94C2241F085C92482F95E410000000000000000FFFFFFFFFFFFEFFFC87F48FFF94C2241713D0A9F82F95E410000000000000000FFFFFFFFFFFFEFFF688863FDFA4C22417368911583F95E410000000000000000FFFFFFFFFFFFEFFFA82C439CFC4C2241F085C98483F95E410000000000000000FFFFFFFFFFFFEFFFF8285CCFFE4C22413BDF4FE983F95E410000000000000000FFFFFFFFFFFFEFFFE0938785014D2241984C154084F95E410000000000000000FFFFFFFFFFFFEFFF385EBAA9044D2241226C788684F95E410000000000000000FFFFFFFFFFFFEFFF204A7B23084D2241AA6054BA84F95E410000000000000000FFFFFFFFFFFFEFFFA8BDC1D70B4D2241BEC117DA84F95E410000000000000000FFFFFFFFFFFFEFFF385EBAA90F4D2241F085C9E484F95E410000000000000000FFFFFFFFFFFFEFFFC8FEB27B134D2241BEC117DA84F95E410000000000000000FFFFFFFFFFFFEFFF4872F92F174D2241AA6054BA84F95E410000000000000000FFFFFFFFFFFFEFFF385EBAA91A4D2241226C788684F95E410000000000000000FFFFFFFFFFFFEFFF9028EDCD1D4D2241984C154084F95E410000000000000000FFFFFFFFFFFFEFFF78931884204D22413BDF4FE983F95E410000000000000000FFFFFFFFFFFFEFFFC88F31B7224D2241F085C98483F95E410000000000000000FFFFFFFFFFFFEFFF08341156244D22417368911583F95E410000000000000000FFFFFFFFFFFFEFFFA03C2C54254D2241713D0A9F82F95E410000000000000000FFFFFFFFFFFFEFFF385EBAA9254D2241F085C92482F95E410000000000000000FFFFFFFFFFFFEFFF,,f,f,f,f,f,f,,,,,,AV. BARTOLINA SISA,AV. BARTOLINA SISA,AV. LITORAL,AV. BARTOLINA SISA,1,12,2025-11-28 06:38:50,2025-11-30 12:42:23,,2133010001807,4,,t,1,1
19,,f,,012814,001140,28,13,,300,300,,,,01060000E0CF7F00000100000001030000C00100000005000000A8CFD5B6304D224183C0CA2D77F95E410000000000000000FFFFFFFFFFFFEFFFD85F760FFF4C2241D656ECF772F95E410000000000000000FFFFFFFFFFFFEFFF408B6CE7F34C2241BE9F1A0B75F95E410000000000000000FFFFFFFFFFFFEFFF18FBCB8E254D22416C09F94079F95E410000000000000000FFFFFFFFFFFFEFFFA8CFD5B6304D224183C0CA2D77F95E410000000000000000FFFFFFFFFFFFEFFF,,f,f,f,f,f,f,,,,,,LOTE 12,LOTE 14,AVENIDA BARTOLINA SISA,LOTE 7,1,12,2025-11-28 06:38:50,2025-11-30 12:42:23,,2133010001508,4,,t,1,1
20,,f,,012813,001139,28,12,,300,300,,,,01060000E0CF7F00000100000001030000C0010000000600000018FBCB8E254D22416C09F94079F95E410000000000000000FFFFFFFFFFFFEFFF408B6CE7F34C2241BE9F1A0B75F95E410000000000000000FFFFFFFFFFFFEFFF409B55BFE84C2241A7E8481E77F95E410000000000000000FFFFFFFFFFFFEFFFE8839EADF24C2241D122DBF577F95E410000000000000000FFFFFFFFFFFFEFFF100BB5661A4D2241545227547BF95E410000000000000000FFFFFFFFFFFFEFFF18FBCB8E254D22416C09F94079F95E410000000000000000FFFFFFFFFFFFEFFF,,f,f,f,f,f,f,,,,,,LOTE 11,LOTE 13,AVENIDA BARTOLINA SISA,LOTE 8 Y 10,1,12,2025-11-28 06:38:50,2025-11-30 12:42:23,,2133010001507,4,,t,1,1
21,,f,,012909,001155,29,9,,300,300,,,,01060000E0CF7F00000100000001030000C0010000000500000048D8F054584D22417368915D62F95E410000000000000000FFFFFFFFFFFFEFFF706891AD264D2241C5FEB2275EF95E410000000000000000FFFFFFFFFFFFEFFF70787A851B4D2241AE47E13A60F95E410000000000000000FFFFFFFFFFFFEFFF40E8D92C4D4D22415BB1BF7064F95E410000000000000000FFFFFFFFFFFFEFFF48D8F054584D22417368915D62F95E410000000000000000FFFFFFFFFFFFEFFF,,f,f,f,f,f,f,,,,,,CALLE ALIANZA,LOTE 8,LOTE 10 Y 11,CALLE FRANZ TAMAYO Y C/ ALIANZA,1,12,2025-11-28 06:38:50,2025-11-30 12:42:23,,2133010001523,4,,t,1,1
23,,f,,012901,001147,29,1,,300,300,,,,01060000E0CF7F00000100000001030000C00100000005000000B0FA5C6DA64D2241166A4DD753F95E410000000000000000FFFFFFFFFFFFEFFFB0EA7395B14D22412D211FC451F95E410000000000000000FFFFFFFFFFFFEFFFE07A14EE7F4D2241EE5A428E4DF95E410000000000000000FFFFFFFFFFFFEFFFD88AFDC5744D2241D7A370A14FF95E410000000000000000FFFFFFFFFFFFEFFFB0FA5C6DA64D2241166A4DD753F95E410000000000000000FFFFFFFFFFFFEFFF,,f,f,f,f,f,f,,,,,,LOTE 2,CALLE CALAMA,LOTE 18 Y CALLE CALAMA,CALLE FRANZ TAMAYO,1,12,2025-11-28 06:38:50,2025-11-30 12:42:23,,2133010001515,4,,t,1,1
24,,f,,012918,001164,29,18,,300,300,,,,01060000E0CF7F00000100000001030000C00100000005000000885AD33CE34D2241DB8AFDF955F95E410000000000000000FFFFFFFFFFFFEFFFB0EA7395B14D22412D211FC451F95E410000000000000000FFFFFFFFFFFFEFFFB0FA5C6DA64D2241166A4DD753F95E410000000000000000FFFFFFFFFFFFEFFFF085C914D84D2241C3D32B0D58F95E410000000000000000FFFFFFFFFFFFEFFF885AD33CE34D2241DB8AFDF955F95E410000000000000000FFFFFFFFFFFFEFFF,,f,f,f,f,f,f,,,,,,LOTE 17,CALLE CALAMA,AVENIDA BARTOLINA SISA,LOTE 1,1,12,2025-11-28 06:38:50,2025-11-30 12:42:23,,2133010001532,4,,t,1,1
25,,f,,012917,001163,29,17,,300,300,,,,01060000E0CF7F00000100000001030000C00100000005000000F085C914D84D2241C3D32B0D58F95E410000000000000000FFFFFFFFFFFFEFFFB0FA5C6DA64D2241166A4DD753F95E410000000000000000FFFFFFFFFFFFEFFF182653459B4D2241FFB27BEA55F95E410000000000000000FFFFFFFFFFFFEFFFE895B2ECCC4D2241AC1C5A205AF95E410000000000000000FFFFFFFFFFFFEFFFF085C914D84D2241C3D32B0D58F95E410000000000000000FFFFFFFFFFFFEFFF,,f,f,f,f,f,f,,,,,,LOTE 16,LOTE 18,AV. BARTOLINA SISA,LOTE 2,1,12,2025-11-28 06:38:50,2025-11-30 12:42:23,,2133010001531,4,,t,1,1
26,,f,,012902,001148,29,2,,300,300,,,,01060000E0CF7F00000100000001030000C00100000005000000B0FA5C6DA64D2241166A4DD753F95E410000000000000000FFFFFFFFFFFFEFFFD88AFDC5744D2241D7A370A14FF95E410000000000000000FFFFFFFFFFFFEFFF48B6F39D694D2241C0EC9EB451F95E410000000000000000FFFFFFFFFFFFEFFF182653459B4D2241FFB27BEA55F95E410000000000000000FFFFFFFFFFFFEFFFB0FA5C6DA64D2241166A4DD753F95E410000000000000000FFFFFFFFFFFFEFFF,,f,f,f,f,f,f,,,,,,LOTE 3,LOTE 1,LOTE 17,CALLE FRANZ TAMAYO,1,12,2025-11-28 06:38:50,2025-11-30 12:42:23,,2133010001516,4,,t,1,1
27,,f,,012903,001149,29,3,,300,300,,,,01060000E0CF7F00000100000001030000C0010000000500000010363C1D904D2241E7FBA9FD57F95E410000000000000000FFFFFFFFFFFFEFFF182653459B4D2241FFB27BEA55F95E410000000000000000FFFFFFFFFFFFEFFF48B6F39D694D2241C0EC9EB451F95E410000000000000000FFFFFFFFFFFFEFFF40C6DC755E4D2241A835CDC753F95E410000000000000000FFFFFFFFFFFFEFFF10363C1D904D2241E7FBA9FD57F95E410000000000000000FFFFFFFFFFFFEFFF,,f,f,f,f,f,f,,,,,,LOTE 4,LOTE 2,LOTE 16,CALLE FRANZ TAMAYO,1,12,2025-11-28 06:38:50,2025-11-30 12:42:23,,2133010001517,4,,t,1,1
