id,nombre,municipio_id,created_at,updated_at
1,CALLE TOCOPILLA,12,2025-11-28 06:18:17,2025-11-28 06:18:17
2,CALLE LITORAL,12,2025-11-28 06:18:17,2025-11-28 06:18:17
3,AVENIDA PANAMERICANA,12,2025-11-28 06:18:17,2025-11-28 06:18:17
4,AVENIDA BARTOLINA SISA,12,2025-11-28 06:18:17,2025-11-28 06:18:17
5,CALLE 15 DE NOVIEMBRE,12,2025-11-28 06:18:17,2025-11-28 06:18:17
6,CALLE 5 DE FEBRERO,12,2025-11-28 06:18:17,2025-11-28 06:18:17
7,CAMINO COMUNAL TOLAR - QUILLCOMA LLUJTURI,12,2025-11-28 06:18:17,2025-11-28 06:18:17
8,CALLE SIN NOMBRE,12,2025-11-28 06:18:17,2025-11-28 06:18:17
9,CALLE AROMA,12,2025-11-28 06:18:17,2025-11-28 06:18:17
10,CALLE ANTOFAGASTA,12,2025-11-28 06:18:17,2025-11-28 06:18:17
11,CALLE COROCORO,12,2025-11-28 06:18:17,2025-11-28 06:18:17
12,CALLE CALAMA,12,2025-11-28 06:18:17,2025-11-28 06:18:17
13,CALLE FRANZ TAMAYO,12,2025-11-28 06:18:17,2025-11-28 06:18:17
14,CALLE 9 DE ENERO,12,2025-11-28 06:18:17,2025-11-28 06:18:17
15,CALLE LIBERTADORES,12,2025-11-28 06:18:17,2025-11-28 06:18:17
16,AVENIDA TUPAC KATARI,12,2025-11-28 06:18:17,2025-11-28 06:18:17
17,CALLE TARAPACA,12,2025-11-28 06:18:17,2025-11-28 06:18:17
18,AVENIDA PACIFICO,12,2025-11-28 06:18:17,2025-11-28 06:18:17
19,CALLE JULIAN APAZA,12,2025-11-28 06:18:17,2025-11-28 06:18:17
20,CALLE TOPATER,12,2025-11-28 06:18:17,2025-11-28 06:18:17
21,CALLE ALIANZA,12,2025-11-28 06:18:17,2025-11-28 06:18:17
22,CALLE TUPAC KATARI,12,2025-11-28 06:18:17,2025-11-28 06:18:17
